name,cost_cny,weight_kg,l_cm,w_cm,h_cm,ali_price_kes,local_price_kes,reviews,reviews_90d_pct,sellers,main_imgs,has_video,variants,suppliers_1688
真人发接发/HD蕾丝假发,180,0.30,25,18,8,14000,26000,,,,,,2,5
IPL脱毛仪(插电款),160,0.50,22,16,9,13000,25000,,,,,,1,4
射频美容仪/微电流提拉,150,0.40,20,15,8,12000,24000,,,,,,1,4
无线电推剪/专业理发器,95,0.45,28,10,8,7500,14000,,,,,,2,5
高温直发梳/卷发棒,80,0.40,30,10,7,6500,12000,,,,,,2,6
激光测距仪(50-100m),120,0.35,18,12,7,9000,18000,,,,,,1,4
数字血压计(上臂式),110,0.50,20,15,9,8000,15000,,,,,,1,5
OBD汽车诊断仪,140,0.40,20,14,8,11000,22000,,,,,,1,3
工业内窥镜(带屏),160,0.45,22,16,8,12500,24000,,,,,,1,3
便携投影仪(入门),320,0.80,24,18,10,20000,38000,,,,,,1,4
智能手表(中端),130,0.25,12,10,6,9500,17000,,,,,,3,6
无线耳机(中端),75,0.20,12,10,6,5500,9500,,,,,,2,8
手机壳/充电线,15,0.15,20,12,4,1200,2000,,,,,,4,10
厨房塑料收纳套装,60,1.20,40,30,25,6000,11000,,,,,,3,5
女装连衣裙,70,0.35,32,25,6,5500,9000,,,,,,4,6
便携太阳能板 100W,280,4.50,55,35,5,22000,40000,,,,,,1,3
